El-array Spa.1 Spa.2 Spa.3 Spa.4 Rho Dev. M Sp Vp In Spa.5 Spa.6 Spa.7 Spa.8
Mixed/non-conventional 2.00 14.00 6.00 10.00 532.67 0.58 0.00 18.27 15.466 0.730 0.00 0.00 0.00 0.00
Mixed/non-conventional 3.00 15.00 7.00 11.00 548.66 0.43 0.00 3.10 15.495 0.710 0.00 0.00 0.00 0.00
Mixed/non-conventional 4.00 16.00 8.00 12.00 588.11 0.31 0.00 -3.04 15.574 0.666 0.00 0.00 0.00 0.00
Mixed/non-conventional 5.00 17.00 9.00 13.00 569.63 0.86 0.00 9.37 15.491 0.683 0.00 0.00 0.00 0.00
Mixed/non-conventional 6.00 18.00 10.00 14.00 617.68 2.92 0.00 30.00 15.520 0.631 0.00 0.00 0.00 0.00
Mixed/non-conventional 7.00 19.00 11.00 15.00 672.25 2.99 0.00 -1.73 15.624 0.584 0.00 0.00 0.00 0.00
Mixed/non-conventional 8.00 20.00 12.00 16.00 715.03 0.91 0.00 0.72 15.584 0.548 0.00 0.00 0.00 0.00
Mixed/non-conventional 9.00 21.00 13.00 17.00 762.76 0.72 0.00 9.73 15.767 0.520 0.00 0.00 0.00 0.00
Mixed/non-conventional 10.00 22.00 14.00 18.00 762.43 0.35 0.00 -0.66 15.814 0.521 0.00 0.00 0.00 0.00
Mixed/non-conventional 11.00 23.00 15.00 19.00 766.93 0.57 0.00 0.14 16.003 0.524 0.00 0.00 0.00 0.00
Mixed/non-conventional 12.00 24.00 16.00 20.00 818.11 0.33 0.00 11.90 16.136 0.496 0.00 0.00 0.00 0.00
Mixed/non-conventional 13.00 25.00 17.00 21.00 800.95 0.55 0.00 0.53 15.871 0.498 0.00 0.00 0.00 0.00
Mixed/non-conventional 14.00 26.00 18.00 22.00 840.67 0.80 0.00 -19.89 15.960 0.477 0.00 0.00 0.00 0.00
Mixed/non-conventional 15.00 27.00 19.00 23.00 903.38 0.60 0.00 10.26 15.806 0.440 0.00 0.00 0.00 0.00
Mixed/non-conventional 16.00 28.00 20.00 24.00 941.02 0.56 0.00 12.26 16.032 0.428 0.00 0.00 0.00 0.00
Mixed/non-conventional 17.00 29.00 21.00 25.00 963.58 0.81 0.00 -16.28 15.663 0.409 0.00 0.00 0.00 0.00
Mixed/non-conventional 18.00 30.00 22.00 26.00 953.49 0.81 0.00 46.67 15.681 0.413 0.00 0.00 0.00 0.00
Mixed/non-conventional 19.00 31.00 23.00 27.00 956.10 0.64 0.00 11.92 15.738 0.414 0.00 0.00 0.00 0.00
